documento;nombre;antiguedad;puntuacion;clave
100000544;Usuario0544;15;3.6;hmfdc4vV
100000545;Usuario0545;26;4.8;U9Gy2PC7
100000546;Usuario0546;38;3.7;yHugFztt
100000547;Usuario0547;12;2.5;04p5WdW9
100000548;Usuario0548;59;4.8;VtPwNGxA
100000549;Usuario0549;45;4.6;GIuSzv2z
100000550;Usuario0550;25;4.5;P3OtJF6s
100000551;Usuario0551;58;4.1;YSsX6h2j
100000552;Usuario0552;39;4.9;QhwxtVSU
100000553;Usuario0553;12;4.8;OJMuxgK2
100000554;Usuario0554;53;4.7;10jxcYrY
100000555;Usuario0555;30;4.8;KVEzWGKp
100000556;Usuario0556;10;3.0;YI3oJbJV
100000557;Usuario0557;41;4.0;Smtey2Kn
100000558;Usuario0558;47;2.9;P45J9e3Y
100000559;Usuario0559;7;2.5;QazHWKHo
100000560;Usuario0560;10;2.9;K0yl36S8
100000561;Usuario0561;33;2.6;l10vzyhk
100000562;Usuario0562;22;4.6;eT9qM1o0
100000563;Usuario0563;23;2.7;c2bBna3b
100000564;Usuario0564;51;4.7;qVSpa9eQ
100000565;Usuario0565;20;2.8;0ImImLWr
100000566;Usuario0566;16;3.4;TydnPHOV
100000567;Usuario0567;40;4.6;OE971TnF
100000568;Usuario0568;60;4.7;kUjGXhSC
100000569;Usuario0569;35;4.6;usoEGEsm
100000570;Usuario0570;23;3.2;0oxd583E
100000571;Usuario0571;41;3.4;u29C0lZT
100000572;Usuario0572;58;3.8;QojtmIhe
100000573;Usuario0573;57;4.4;RWtI6jDv
100000574;Usuario0574;33;2.7;KZYnDXWZ
100000575;Usuario0575;36;3.6;IyqSV4Fv
100000576;Usuario0576;7;4.7;A2nJr2du
100000577;Usuario0577;18;3.2;Ltju7duG
100000578;Usuario0578;13;2.5;5df8eH5W
100000579;Usuario0579;41;3.6;DnQvmSci
100000580;Usuario0580;46;4.3;dJuwrsnk
100000581;Usuario0581;52;2.5;atkKBOZk
100000582;Usuario0582;50;3.7;gnesPywH
100000583;Usuario0583;28;4.4;UFtSrCVn
100000584;Usuario0584;23;3.0;G1pNwRED
100000585;Usuario0585;32;3.2;PrOrQoj8
100000586;Usuario0586;11;3.7;vg3tDMh8
100000587;Usuario0587;23;4.9;oTIFgkGf
100000588;Usuario0588;45;3.2;WnvRRY7b
100000589;Usuario0589;32;4.9;ghFITGy0
100000590;Usuario0590;32;4.6;IYQV1QkJ
100000591;Usuario0591;51;2.5;esWFHu3j
100000592;Usuario0592;9;3.3;mecrqOgF
100000593;Usuario0593;40;3.2;CZbMmrYR
100000594;Usuario0594;49;3.4;reotZAaZ
100000595;Usuario0595;28;3.9;g4qor6CR
100000596;Usuario0596;21;3.6;sWkIFXCL
100000597;Usuario0597;30;3.1;MWKS7oEl
100000598;Usuario0598;45;4.4;dxFdDOhi
100000599;Usuario0599;48;4.0;jg8EucbX
100000600;Usuario0600;8;3.2;piq0ENFN
100000601;Usuario0601;22;2.6;oJ7DorDD
100000602;Usuario0602;8;4.8;2FbSWBGr
100000603;Usuario0603;6;3.5;01FW44AC
100000604;Usuario0604;57;3.2;iRWKtreN
100000605;Usuario0605;15;4.1;DcOdAa23
100000606;Usuario0606;6;4.2;BclYiDqX
100000607;Usuario0607;40;3.4;wzr4lYXQ
100000608;Usuario0608;34;4.5;a9CDMa42
100000609;Usuario0609;37;4.8;sa5LXkMU
100000610;Usuario0610;15;2.8;ovN9w65D
100000611;Usuario0611;57;2.5;S7I9hmDq
100000612;Usuario0612;49;3.6;mjKAbBYc
100000613;Usuario0613;41;3.3;Ut5zDDfM
100000614;Usuario0614;36;4.3;xYozJJim
100000615;Usuario0615;17;2.6;T95c8EDs
100000616;Usuario0616;34;2.9;6iUAouMF
100000617;Usuario0617;41;3.7;L1fHTvyH
100000618;Usuario0618;10;2.7;HgtVw5KS
100000619;Usuario0619;22;2.9;Tn3NlbAF
100000620;Usuario0620;10;3.0;gKQDX7S2
100000621;Usuario0621;38;3.1;jSPXr1MR
100000622;Usuario0622;20;4.3;Pw9YX8fn
100000623;Usuario0623;26;3.7;iCXQ7qUf
100000624;Usuario0624;24;3.4;7zayqQVl
100000625;Usuario0625;24;3.9;xkSG4ahO
100000626;Usuario0626;19;3.1;o96xAUpT
100000627;Usuario0627;48;4.0;Svh3KXWC
100000628;Usuario0628;49;4.4;2tGcK1dO
100000629;Usuario0629;33;3.7;lkbZG5qw
100000630;Usuario0630;10;3.3;Bnb10HCY
100000631;Usuario0631;57;4.0;f2KudJOv
100000632;Usuario0632;16;4.1;dwEkiWya
100000633;Usuario0633;37;4.2;IYEKuVL0
100000634;Usuario0634;7;5.0;txQyLUWe
100000635;Usuario0635;58;4.0;QjuAUCQP
100000636;Usuario0636;19;3.4;MhnTLAIN
100000637;Usuario0637;25;3.6;Mi6g035X
100000638;Usuario0638;60;2.8;StDLUiIh
100000639;Usuario0639;57;2.9;FsfwYyX5
100000640;Usuario0640;19;2.7;MvLqI8Zg
100000641;Usuario0641;32;4.6;tDPtg9fm
100000642;Usuario0642;60;3.1;glUHmWZH
100000643;Usuario0643;30;4.2;B7CqJKwr
100000644;Usuario0644;9;3.3;YjVy0owt
100000645;Usuario0645;58;3.3;sey6z3VR
100000646;Usuario0646;34;4.1;qXDDjsPU
100000647;Usuario0647;41;2.7;oj0OS2zU
100000648;Usuario0648;11;3.8;cIorxEnl
100000649;Usuario0649;40;3.7;3Que1tSX
100000650;Usuario0650;33;3.9;eqY95dic
100000651;Usuario0651;45;3.4;na9rB7wf
100000652;Usuario0652;10;5.0;nAlzmf4n
100000653;Usuario0653;36;3.6;5ejpb01t
100000654;Usuario0654;57;3.1;IsGrThbP
100000655;Usuario0655;22;5.0;SoeisgBi
100000656;Usuario0656;42;3.5;u8uMPD7H
100000657;Usuario0657;33;5.0;7ZMfHq8q
100000658;Usuario0658;20;2.8;35rZYgfa
100000659;Usuario0659;34;4.4;vtFlRGyI
100000660;Usuario0660;56;2.7;hkVYharJ
100000661;Usuario0661;36;3.8;s3bJPBAe
100000662;Usuario0662;24;3.2;xitDOt3K
100000663;Usuario0663;24;4.0;Lq2vnDHz
100000664;Usuario0664;24;4.9;Aq5UcCLa
100000665;Usuario0665;18;4.9;9OQNT5zY
100000666;Usuario0666;35;3.0;sHhvzfAI
100000667;Usuario0667;59;3.0;QYOycAoy
100000668;Usuario0668;37;3.8;ccdXNnsx
100000669;Usuario0669;35;3.4;mAd8tqsk
100000670;Usuario0670;59;3.7;46PThbTb
100000671;Usuario0671;56;4.3;DeOgoCKi
100000672;Usuario0672;60;2.6;S0jNUVQH
100000673;Usuario0673;60;4.4;Lpflpbr4
100000674;Usuario0674;15;3.5;S2wMMjdC
100000675;Usuario0675;45;3.3;jZxJrbsd
100000676;Usuario0676;25;3.3;qr2zosWP
100000677;Usuario0677;58;3.9;oS0ypIyA
100000678;Usuario0678;7;3.3;F7q3IoVR
100000679;Usuario0679;47;4.5;Ltzvw2uS
100000680;Usuario0680;50;3.6;gMpoQEhP
100000681;Usuario0681;55;4.0;ochqItz8
100000682;Usuario0682;35;3.3;24JWyIBW
100000683;Usuario0683;53;2.6;3J9eWYv8
100000684;Usuario0684;45;3.7;NDY9FUga
100000685;Usuario0685;7;3.7;umZRR83O
100000686;Usuario0686;59;3.6;dJvISfuy
100000687;Usuario0687;35;3.9;qFecY1NS
100000688;Usuario0688;32;3.9;b30WRUMO
100000689;Usuario0689;58;3.9;RIQ5NG8G
100000690;Usuario0690;32;3.7;FP9vYOwm
100000691;Usuario0691;36;4.3;sNlU9Eb8
100000692;Usuario0692;30;4.1;ysjMaRF8
100000693;Usuario0693;46;3.9;TlfQGrvb
100000694;Usuario0694;54;2.9;NiZDAX9x
100000695;Usuario0695;13;3.4;Jfy3rco4
100000696;Usuario0696;10;4.2;8idAhHHc
100000697;Usuario0697;29;2.7;hzY6QqrE
100000698;Usuario0698;28;4.2;cjcjpygE
100000699;Usuario0699;17;2.6;N2UmBjE4
100000700;Usuario0700;48;4.4;98A9VBF0
